prompt_id,method,delta,delta_min,delta_max,prompt,generated_text,tokens_counted,num_green_tokens,green_fraction,z_score,p_value,prediction,confidence,word_count,distinct_1,distinct_2,repetition_rate,avg_step_delta,observed_delta_min,observed_delta_max
1,No Watermark,,,,"After the martyrdom of St. Boniface, Vergilius was made Bishop of Salzburg (766 or 767) and laboured successfully for the upbuilding of his diocese as well as for the spread of the Faith"," in the adjacent kingdoms. He was elected Bishop of Eichstaedt (768) and became (769) Bishop of Freising, the first of the German dioceses established by Pope Boniface.

Vergilius died at Freising on 21 April 772.

References

External links
Vergilius",73,18,0.2465753424657534,-0.06757373783994859,0.5269375191157661,Human/Unwatermarked,0.0,39,0.8205128205128205,0.9736842105263158,0.17948717948717952,,,
1,Fixed Delta 0.5,0.5,,,"After the martyrdom of St. Boniface, Vergilius was made Bishop of Salzburg (766 or 767) and laboured successfully for the upbuilding of his diocese as well as for the spread of the Faith"," in the adjacent kingdoms. He was elected Bishop of Eichstaedt (769) by the Emperor Otto II. He and his son, Lothaire (died 771), were both killed in the siege of Eichstaedt by the Franks.

Vergilius is remembered as a great patron of the sick and the poor. He founded a hospital for the sick and a school for the education of the people. He is also remembered as a patron of the",99,37,0.37373737373737376,2.8432683806097314,0.0022326725999624137,Human/Unwatermarked,0.0,72,0.5833333333333334,0.8450704225352113,0.41666666666666663,0.5,0.5,0.5
1,Fixed Delta 1.0,1.0,,,"After the martyrdom of St. Boniface, Vergilius was made Bishop of Salzburg (766 or 767) and laboured successfully for the upbuilding of his diocese as well as for the spread of the Faith"," in Central Europe. He died in 771.

He was the first Bishop of Lucerne, but also left an important legacy to the Church of Lucerne, both within the diocese and in Switzerland.

The Swiss canonized him in 1911.

Vergilius is buried in the Church of the Holy Apostles in Lucerne. He is also buried in the Church of the Holy Apostles in Salzburg.

Dio Cassius, xxix",99,35,0.35353535353535354,2.379061298061204,0.008678394706350628,Human/Unwatermarked,0.0,66,0.5757575757575758,0.8307692307692308,0.4242424242424242,1.0,1.0,1.0
1,Fixed Delta 2.0,2.0,,,"After the martyrdom of St. Boniface, Vergilius was made Bishop of Salzburg (766 or 767) and laboured successfully for the upbuilding of his diocese as well as for the spread of the Faith"," in Central Europe, which became the Croatia of the Holy Empire, and later the Slavic land of the Habsburg Kingdom. He was one of the first to preach in the Slavic language, which became the norm for the Slavic church for centuries to come. He was instrumental, also, in establishing a Latin and a Slavic church in the Austrian Empire. He founded a great monastery in Passau. He is said to have composed the first known Bulgarian liturgy, and the first known",99,68,0.6868686868686869,10.038478160111909,5.162741433689114e-24,Watermarked,1.0,82,0.5487804878048781,0.8518518518518519,0.4512195121951219,2.0,2.0,2.0
1,Fixed Delta 3.0,3.0,,,"After the martyrdom of St. Boniface, Vergilius was made Bishop of Salzburg (766 or 767) and laboured successfully for the upbuilding of his diocese as well as for the spread of the Faith"," to all regions of the continent. He was also very pious, and served his Lord with great fidelity and devotion throughout his life. He was one of the first to preach in Western Europe, which had been converted to Christianity by St. Augustine. He preached to the Franks and the Lombards and various Germans and‘‘barbarians‘‘. He founded a great monastery in Passmoos (a picture of this place may be seen at St. Nicholas, Munich); he",99,77,0.7777777777777778,12.127410031580283,3.7801435720337223e-34,Watermarked,1.0,76,0.7105263157894737,0.9733333333333334,0.2894736842105263,3.0,3.0,3.0
1,Adaptive Delta,adaptive,0.5,3.0,"After the martyrdom of St. Boniface, Vergilius was made Bishop of Salzburg (766 or 767) and laboured successfully for the upbuilding of his diocese as well as for the spread of the Faith"," in Central Europe, which became the Croatia of the Holy Empire, and later the Slavic land of the Habsburg Kingdom. He was one of the first to preach in the Slavic language, which became the norm for the Slavic church for centuries to come. He was instrumental in the foundation of the first Slavic church in Krakow (in 773), and for its construction and relics he received the altar cloth and a precious relic of the Cross of St. John, which became",99,72,0.7272727272727273,10.966892325208963,2.756746498559108e-28,Watermarked,1.0,82,0.5365853658536586,0.8395061728395061,0.46341463414634143,1.8688988959789277,1.6180340051651,2.329775810241699
2,No Watermark,,,,"""Whoever gets him, they'll be getting a good one,"" David Montgomery said. INDIANAPOLIS — Hakeem Butler has been surrounded by some of the best wide receivers on the planet this week at the NFL Scouting Combine."," But he gets to be with the best of them on Sunday, when he gets to play catch with Indianapolis Colts wide receiver T.Y. Hilton. Butler, who led Utah State in receiving in each of his final two seasons, was a first-team All-Mountain West honoree in 2017 and a second-team pick...

""He's a great guy,"" Butler said. ""He's a great teammate. He's a great guy for me to be around, learning from",99,24,0.24242424242424243,-0.17407765595569785,0.5690977834754946,Human/Unwatermarked,0.0,76,0.7368421052631579,0.8933333333333333,0.26315789473684215,,,
2,Fixed Delta 0.5,0.5,,,"""Whoever gets him, they'll be getting a good one,"" David Montgomery said. INDIANAPOLIS — Hakeem Butler has been surrounded by some of the best wide receivers on the planet this week at the NFL Scouting Combine."," But he gets to be with the best of the best next week. Butler will likely be the first wide receiver drafted in 2019. The Houston product could be selected as high as the...

""They have a great quarterback,"" David Montgomery said. The 49ers are widely expected to select a quarterback in the first round of the NFL Draft. A few days ago, Washington head coach Jay Gruden said he thought quarterback Dwayne Haskins was a ""lot of fun"" to watch. But",99,31,0.31313131313131315,1.4506471329641486,0.07343907182033664,Human/Unwatermarked,0.0,82,0.6951219512195121,0.9629629629629629,0.30487804878048785,0.5,0.5,0.5
2,Fixed Delta 1.0,1.0,,,"""Whoever gets him, they'll be getting a good one,"" David Montgomery said. INDIANAPOLIS — Hakeem Butler has been surrounded by some of the best wide receivers on the planet this week at the NFL Scouting Combine."," But he gets to meet one of the best when he gets to Indianapolis later this week. The University of Iowa wide receiver has been invited to join the first round of the 2019 NFL Draft, which will be held at Lucas Oil Stadium on April 26-28. The NFL Draft Lottery, which determines the first-round order, is scheduled to take place at 1 p.m. Central time on Tuesday. The Eagles have the No. 22 pick this year, which means they will pick in the",99,39,0.3939393939393939,3.307475463158259,0.00047070479296677613,Human/Unwatermarked,0.0,87,0.7011494252873564,0.9302325581395349,0.29885057471264365,1.0,1.0,1.0
2,Fixed Delta 2.0,2.0,,,"""Whoever gets him, they'll be getting a good one,"" David Montgomery said. INDIANAPOLIS — Hakeem Butler has been surrounded by some of the best wide receivers on the planet this week at the NFL Scouting Combine."," The 6-foot-4, 210-pound wide receiver out of Iowa State is projected as a third or fourth round pick, and a lot of teams think that he can be a big-play weapon in the NFL. Butler is a terrific athlete with the ball skills and hands to make the most of the football when it’s in his hands. He could even be used as a kickoff returner in the pros. He’s a good route runner and could even become a possession",99,51,0.5151515151515151,6.092717958449424,5.550477317542801e-10,Watermarked,0.9999999994449522,86,0.6976744186046512,0.9647058823529412,0.3023255813953488,2.0,2.0,2.0
