prompt_id,method,delta,delta_min,delta_max,prompt,generated_text,tokens_counted,num_green_tokens,green_fraction,z_score,p_value,prediction,confidence,word_count,distinct_1,distinct_2,repetition_rate,avg_step_delta,observed_delta_min,observed_delta_max,weighted_z_score,winmax_weighted_z_score,weighted_p_value,weighted_prediction,weighted_confidence,avg_kl,avg_delta,avg_entropy,avg_p_green_mass,gate_pass_rate,avg_candidate_size,candidate_top_p,kl_epsilon
1,No Watermark,,,,"After the martyrdom of St. Boniface, Vergilius was made Bishop of Salzburg (766 or 767) and laboured successfully for the upbuilding of his diocese as well as for the spread of the Faith"," in the Danube. He was elected Bishop of Salzburg in 766 and succeeded him as Bishop of Salzburg.

In the first century, he became engaged in many realizations of his faith, including the promotion of the Faith as the source of the knowledge of the world, especially the knowledge of man and the knowledge of man's religion, and his assumption of the power and influence of the Church, in order to gain the knowledge of man's religion.

He was",99,23,0.23232323232323232,-0.4061811972299616,0.6576952657166102,Human/Unwatermarked,0.0,79,0.4810126582278481,0.782051282051282,0.5189873417721519,,,,-0.7864886953129478,1.4868684752121795,0.784209380316794,False,0.0,,,0.29927539986445345,0.28395881263539197,0.85,827.51,,
1,Fixed Delta 1.0,1.0,,,"After the martyrdom of St. Boniface, Vergilius was made Bishop of Salzburg (766 or 767) and laboured successfully for the upbuilding of his diocese as well as for the spread of the Faith"," in the Danube. He was elected Bishop of Salzburg in 777 and succeeded him for four years. He was bishop of Salzburg from 789 to 797. In the time of his election, he had a total of 18,000 dioceses. He was consecrated as a bishop of Salzburg on 5 March 797. He was consecrated as a bishop of Salzburg on 1 January 798. He was consecrated as a bishop of Sal",99,33,0.3333333333333333,1.9148542155126762,0.027755549048935523,Human/Unwatermarked,0.0,72,0.5277777777777778,0.704225352112676,0.4722222222222222,1.0,1.0,1.0,3.275155842434266,3.8589545474005003,0.0005280184979526144,False,0.0,,,0.21802095122717083,0.3231539709866047,0.75,309.31,,
1,Fixed Delta 2.0,2.0,,,"After the martyrdom of St. Boniface, Vergilius was made Bishop of Salzburg (766 or 767) and laboured successfully for the upbuilding of his diocese as well as for the spread of the Faith"," in the area of the Church of Saint Boniface. He was consecrated Bishop in 772 and served until his death. He was consecrated Bishop in 778, and was consecrated Bishop in 784, by St. Boniface. He is known today as a great-grandfather of St. Boniface.

References

External links

""Inventors and Demonstrators in the Church of Saint Boniface,” The Netherlands of the",99,50,0.5050505050505051,5.86061441717516,2.305788288019096e-09,Watermarked,0.9999999976942117,62,0.5483870967741935,0.7540983606557377,0.4516129032258065,2.0,2.0,2.0,8.41115897182616,8.41115897182616,2.0298952014499853e-17,True,1.0,,,0.25399253402171645,0.3766525372117758,0.78,736.44,,
1,Fixed Delta 3.0,3.0,,,"After the martyrdom of St. Boniface, Vergilius was made Bishop of Salzburg (766 or 767) and laboured successfully for the upbuilding of his diocese as well as for the spread of the Faith"," into the whole world. He was consecrated as a bishop and he served for another seven years. He is still considered a bishop and a bishop-in-training and a bishop-in-training, or is it? - ""A Bishop-in-training, or a bishop-in-training,” it may be assumed, because these days, people are not given a clue about who he is, what he would do and where he would live, what he would do in order",99,78,0.7878787878787878,12.359513572854546,2.1638374768437998e-35,Watermarked,1.0,77,0.5454545454545454,0.75,0.4545454545454546,3.0,3.0,3.0,12.865276071278632,12.865276071278632,3.529463273675807e-38,True,1.0,,,0.2957609407944338,0.30971904585137966,0.84,618.97,,
1,Current Adaptive Delta,adaptive,0.5,3.0,"After the martyrdom of St. Boniface, Vergilius was made Bishop of Salzburg (766 or 767) and laboured successfully for the upbuilding of his diocese as well as for the spread of the Faith", in the area of the Church of Saint Boniface. He was consecrated Bishop in 772 (not exactly the Kingdom of the Holy Roman Empire) and was made Archbishop of Salzburg with effect from 773 (not exactly the Kingdom of the Holy Roman Empire) until his death. He was consecrated Bishop in 780 (not exactly the Kingdom of the Holy Roman Empire) and was consecrated Bishop in 797 (not exactly the Kingdom of the Holy Roman Empire) until his death,99,42,0.42424242424242425,4.003786086981051,3.1168367625803447e-05,Watermarked,0.9999688316323742,79,0.3924050632911392,0.5256410256410257,0.6075949367088608,1.7537092900276183,1.6180340051651,2.420637369155884,4.985784402975762,5.183877792902353,3.0855464551578495e-07,True,0.9999996914453545,,,0.17789915516608323,0.45749803660903127,0.6,352.38,,
1,CA-KL,kl_adaptive,,3.0,"After the martyrdom of St. Boniface, Vergilius was made Bishop of Salzburg (766 or 767) and laboured successfully for the upbuilding of his diocese as well as for the spread of the Faith"," into the whole of Austria and the Netherlands. The bishop was consecrated to the Bishopric of Salzburg in 772 and thereafter remained there till he died in his 80s. The bishop was not consecrated until his death. The church is named after his bishop.

Archbishop Vester von Vester

Archbishop Vester von Vester

Archbishop Vester von Vester

Archbishop Vester von Vester

Archbishop Vester von Vester",99,71,0.7171717171717171,10.7347887839347,3.49392904769601e-27,Watermarked,1.0,64,0.515625,0.7301587301587301,0.484375,,,,,,,,,0.331138646725995,2.5615420532226563,0.22361642770141457,0.4104184348334093,1.0,50265.0,,0.5
1,CA-KL + Weighted Detector,kl_adaptive,,3.0,"After the martyrdom of St. Boniface, Vergilius was made Bishop of Salzburg (766 or 767) and laboured successfully for the upbuilding of his diocese as well as for the spread of the Faith"," into the whole of Austria and the Netherlands. The bishop was consecrated to the Bishopric of Salzburg in 772 and thereafter remained there till he died in his 80s. The bishop was not consecrated until his death. The church is named after his bishop.

Archbishop Vester von Vester

Archbishop Vester von Vester

Archbishop Vester von Vester

Archbishop Vester von Vester

Archbishop Vester von Vester",99,71,0.7171717171717171,10.7347887839347,3.49392904769601e-27,Watermarked,1.0,64,0.515625,0.7301587301587301,0.484375,,,,8.61125598509697,8.61125598509697,3.6132210797856546e-18,True,1.0,0.331138646725995,2.5615420532226563,0.22361642997615108,0.41041846409789284,1.0,50265.0,,0.5
1,CA-KL + Candidate Greenlist,kl_adaptive,,3.0,"After the martyrdom of St. Boniface, Vergilius was made Bishop of Salzburg (766 or 767) and laboured successfully for the upbuilding of his diocese as well as for the spread of the Faith"," in the area of the Church of Saint Boniface in Sulzbach. He is also the brother of St. Francis of Assisi. He is also the son of the Bishop, Father St. Francis of Assisi.

References

Further reading

 Vergilius, V. A. E., The Book of St. Boniface in his Collected Writings (New York: Yale University Press, 1978).

External links

 Vergilius, V",99,65,0.6565656565656566,9.342167536289118,4.719090681074502e-21,Watermarked,1.0,60,0.6166666666666667,0.8305084745762712,0.3833333333333333,,,,10.577136745078795,10.577136745078795,1.902029043892827e-26,True,1.0,0.36258272853241735,2.5327569580078126,0.25559868596579427,0.4271983040892519,0.72,811.09,0.95,0.5
1,CA-KL + Candidate Greenlist + Weighted/WinMax,kl_adaptive,,3.0,"After the martyrdom of St. Boniface, Vergilius was made Bishop of Salzburg (766 or 767) and laboured successfully for the upbuilding of his diocese as well as for the spread of the Faith"," in the area of the Church of Saint Boniface in Sulzbach. He is also the brother of St. Francis of Assisi. He is also the son of the Bishop, Father St. Francis of Assisi.

References

Further reading

External links

Biography at St. Boniface
Biography at St. Boniface
Biography at St. Boniface
Biography at St. Boniface
Biography at St.",99,57,0.5757575757575758,7.4853392060950075,3.5681289972117485e-14,Watermarked,0.9999999999999644,58,0.43103448275862066,0.631578947368421,0.5689655172413793,,,,8.474850010191732,8.593444366996824,1.1769130298706814e-17,True,1.0,0.2556554054058566,1.4498487854003905,0.20334363457426566,0.47914529495174063,0.59,508.51,0.95,0.5
2,No Watermark,,,,"""Whoever gets him, they'll be getting a good one,"" David Montgomery said. INDIANAPOLIS — Hakeem Butler has been surrounded by some of the best wide receivers on the planet this week at the NFL Scouting Combine."," But Butler is not one of the top-10 wide receivers, he has been one of the top-10 tight ends. And while Butler is the first of five wide receivers to have collected 100 or more receiving yards in his career, he has the most receiving yards with scores of at least 100 each game this season.

There’s also a lot of competition for a top-10 tight end. In the end, what matters is who gets the ball.

“Everybody",99,22,0.2222222222222222,-0.6382847385042254,0.73835582764413,Human/Unwatermarked,0.0,82,0.6585365853658537,0.8765432098765432,0.3414634146341463,,,,0.0904820679121169,1.50494276254724,0.46395207161494245,False,0.0,,,0.26865912556259197,0.26826880815904586,0.83,294.68,,
2,Fixed Delta 1.0,1.0,,,"""Whoever gets him, they'll be getting a good one,"" David Montgomery said. INDIANAPOLIS — Hakeem Butler has been surrounded by some of the best wide receivers on the planet this week at the NFL Scouting Combine."," But Butler is on track to become the first player on the roster he has played with since he got drafted in the first round. So far, the first of Butler's three NFL starts has been as a rookie receiver in 2017.
""He's a great receiver,"" Butler said. ""He's a really good player and a really good person.""
The two-time All-Pro turned pro in 2017 after spending the first two seasons with the Miami Dolphins. Butler had a career-high five",99,46,0.46464646464646464,4.932200252078106,4.0654247701977057e-07,Watermarked,0.999999593457523,83,0.6506024096385542,0.9146341463414634,0.3493975903614458,1.0,1.0,1.0,4.897512696204384,4.897512696204384,4.852868254657005e-07,True,0.9999995147131745,,,0.2709599474680656,0.27917765925638377,0.91,293.24,,
