prompt_id,method,delta,delta_min,delta_max,prompt,generated_text,tokens_counted,num_green_tokens,green_fraction,z_score,p_value,prediction,confidence,word_count,distinct_1,distinct_2,repetition_rate,avg_step_delta,observed_delta_min,observed_delta_max,weighted_z_score,winmax_weighted_z_score,weighted_p_value,weighted_prediction,weighted_confidence,avg_kl,avg_delta,avg_entropy,avg_p_green_mass,gate_pass_rate,avg_candidate_size,candidate_top_p,kl_epsilon,ppl_num_scored_tokens,ppl_nll_sum,ppl_avg_nll,ppl
1,No Watermark,,,,"After the martyrdom of St. Boniface, Vergilius was made Bishop of Salzburg (766 or 767) and laboured successfully for the upbuilding of his diocese as well as for the spread of the Faith"," in the Danube. He was elected Bishop of Salzburg in 766 and succeeded him as Bishop of Salzburg.

In the first century, he became engaged in many realizations of his faith, including the promotion of the Faith as the source of the knowledge of the world, especially the knowledge of man and the knowledge of man's religion, and his assumption of the power and influence of the Church, in order to gain the knowledge of man's religion.

He was",99,23,0.23232323232323232,-0.4061811972299616,0.6576952657166102,Human/Unwatermarked,0.0,79,0.4810126582278481,0.782051282051282,0.5189873417721519,,,,-0.7864886953129478,1.4868684752121795,0.784209380316794,False,0.0,,,0.29927539986445345,0.28395881263539197,0.85,827.51,,,100,193.32000732,1.93320007,6.91159249
1,Fixed Delta 1.864,1.864,,,"After the martyrdom of St. Boniface, Vergilius was made Bishop of Salzburg (766 or 767) and laboured successfully for the upbuilding of his diocese as well as for the spread of the Faith"," in the area of the Church of Saint Boniface. He was consecrated Bishop in 772 and served until his death. He was consecrated Bishop in 778, and was consecrated Bishop in 784, by St. Boniface. He is known today as a great-grandfather of St. Boniface.

References

External links

""Inventors and Demonstrators in the Church of Saint Boniface,” The Netherlands of the",99,50,0.5050505050505051,5.86061441717516,2.305788288019096e-09,Watermarked,0.9999999976942117,62,0.5483870967741935,0.7540983606557377,0.4516129032258065,1.864,1.864,1.864,,,,,,,,,,,,,,100,165.12904358,1.65129044,5.21370344
1,Current Adaptive Delta,adaptive,0.5,3.0,"After the martyrdom of St. Boniface, Vergilius was made Bishop of Salzburg (766 or 767) and laboured successfully for the upbuilding of his diocese as well as for the spread of the Faith", in the area of the Church of Saint Boniface. He was consecrated Bishop in 772 (not exactly the Kingdom of the Holy Roman Empire) and was made Archbishop of Salzburg with effect from 773 (not exactly the Kingdom of the Holy Roman Empire) until his death. He was consecrated Bishop in 780 (not exactly the Kingdom of the Holy Roman Empire) and was consecrated Bishop in 797 (not exactly the Kingdom of the Holy Roman Empire) until his death,99,42,0.42424242424242425,4.003786086981051,3.1168367625803447e-05,Watermarked,0.9999688316323742,79,0.3924050632911392,0.5256410256410257,0.6075949367088608,1.7537092900276183,1.6180340051651,2.420637369155884,4.985784402975762,5.183877792902353,3.0855464551578495e-07,True,0.9999996914453545,,,0.17789915516608323,0.45749803660903127,0.6,352.38,,,99,120.08847046,1.21301485,3.36361017
2,No Watermark,,,,"""Whoever gets him, they'll be getting a good one,"" David Montgomery said. INDIANAPOLIS — Hakeem Butler has been surrounded by some of the best wide receivers on the planet this week at the NFL Scouting Combine."," But Butler is not one of the top-10 wide receivers, he has been one of the top-10 tight ends. And while Butler is the first of five wide receivers to have collected 100 or more receiving yards in his career, he has the most receiving yards with scores of at least 100 each game this season.

There’s also a lot of competition for a top-10 tight end. In the end, what matters is who gets the ball.

“Everybody",99,22,0.2222222222222222,-0.6382847385042254,0.73835582764413,Human/Unwatermarked,0.0,82,0.6585365853658537,0.8765432098765432,0.3414634146341463,,,,0.0904820679121169,1.50494276254724,0.46395207161494245,False,0.0,,,0.26865912556259197,0.26826880815904586,0.83,294.68,,,100,188.38037109,1.88380371,6.57847997
2,Fixed Delta 1.864,1.864,,,"""Whoever gets him, they'll be getting a good one,"" David Montgomery said. INDIANAPOLIS — Hakeem Butler has been surrounded by some of the best wide receivers on the planet this week at the NFL Scouting Combine."," But Butler is on track to become the first Miami wide receiver to make the Pro Bowl. He got a chance to prove he can and has already proven he can.
""Every day, I just make it better,"" Butler said. ""He's a great guy. He's a great leader. A really good guy. He's a great leader so it's a lot of things that he can control. He's a really good person.""
""In football, you just have to be able",99,62,0.6262626262626263,8.645856912466327,2.6701500224408945e-18,Watermarked,1.0,79,0.6582278481012658,0.8589743589743589,0.3417721518987342,1.864,1.864,1.864,,,,,,,,,,,,,,100,194.60104370,1.94601044,7.00070205
2,Current Adaptive Delta,adaptive,0.5,3.0,"""Whoever gets him, they'll be getting a good one,"" David Montgomery said. INDIANAPOLIS — Hakeem Butler has been surrounded by some of the best wide receivers on the planet this week at the NFL Scouting Combine."," But Butler is on track to make his Division I college debut against Alabama later this week. He got a chance to prove he can and has already proven he can as he became the latest big-play weapon in Miami's run-first defense.
""He's a great leader. He's a great leader to have around here,"" Butler said. ""He's a great leader that makes a great team and a great team in everybody's head. He's a guy that we can all be proud",99,63,0.6363636363636364,8.87796045374059,3.4048719575050004e-19,Watermarked,1.0,83,0.6746987951807228,0.8658536585365854,0.32530120481927716,1.8424191403388976,1.6180340051651,2.2527060508728027,8.107776775383607,8.107776775383607,2.5777168403052765e-16,True,0.9999999999999998,,,0.2773294380348012,0.28892854443751276,0.95,256.89,,,100,202.51280212,2.02512802,7.57708091
3,No Watermark,,,,"8i announced today it has launched a web player, the 8i Portal, for its volumetric 3D video of people in virtual reality. Using 8i’s technology and VR goggles, you’ll be able to walk"," around the world in virtual reality, and have your buddies join in.

“As a virtual reality technology company, we’re excited to introduce our new online experience to the real world,” said Richard M. Jones, chief technology officer at 8i. “We’re’re building a world-class virtual reality experience that’s as real and immersive as anyone’s ever seen.”

8i’s Portal will",99,22,0.2222222222222222,-0.6382847385042254,0.73835582764413,Human/Unwatermarked,0.0,65,0.6615384615384615,0.953125,0.3384615384615385,,,,-0.922231903018571,1.0030352920191978,0.8217961872744104,False,0.0,,,0.23425965901087728,0.4019734131358564,0.67,400.96,,,100,150.70404053,1.50704041,4.51335331
3,Fixed Delta 1.864,1.864,,,"8i announced today it has launched a web player, the 8i Portal, for its volumetric 3D video of people in virtual reality. Using 8i’s technology and VR goggles, you’ll be able to walk"," around a room in virtual reality without touching anything. You’ll also be able to watch the game through your digital camera or Oculus Rift, which can be used to zoom into or out real-time in virtual reality. The 8i Portal is one of the first features that allows you to enjoy a full-body experience with virtual reality. You’ll be able to enjoy a full-body experience with virtual reality without touching anything.

In order for you to enjoy a full-",99,61,0.6161616161616161,8.413753371192062,1.9854759384111046e-17,Watermarked,1.0,84,0.5833333333333334,0.7469879518072289,0.41666666666666663,1.864,1.864,1.864,,,,,,,,,,,,,,100,164.90922546,1.64909225,5.20225536
3,Current Adaptive Delta,adaptive,0.5,3.0,"8i announced today it has launched a web player, the 8i Portal, for its volumetric 3D video of people in virtual reality. Using 8i’s technology and VR goggles, you’ll be able to walk"," around a room in virtual reality without touching anything. You’ll also be able to zoom in on your surroundings, which will make your VR experience more realistic.

8i’s 3D video will come to 8i Portal for free starting at $30, which includes the first month of the virtual world with the first wall-to-wall video (you can check out the full video here).

9i Portal’s first wall-to-wall video will",99,57,0.5757575757575758,7.4853392060950075,3.5681289972117485e-14,Watermarked,0.9999999999999644,75,0.68,0.918918918918919,0.31999999999999995,1.877343623638153,1.6180340051651,2.423213481903076,8.604651811675279,8.604651811675279,3.8274387402225645e-18,True,1.0,,,0.2665030024105938,0.38023666555294766,0.78,483.39,,,100,176.32771301,1.76327713,5.83151675
4,No Watermark,,,,"The Arlington County Board plans to vote Saturday afternoon on giving Amazon $23 million and other incentives to build a headquarters campus in Crystal City, but only after hearing scores of northern Virginia residents and advocates testify for or against the project. The five-member"," Arlington County Board on Saturday will vote on whether to give Amazon, the world's largest e-commerce company, $23 million in incentives to build a campus in Crystal City, Virginia. The five-member board is expected to vote on whether to give Amazon the $23 million in incentives, which were approved last week.

The five-member board will vote on whether to give Amazon $23 million in incentives, which were approved last week.

Pleasant Valley, Va.- Amazon",99,23,0.23232323232323232,-0.4061811972299616,0.6576952657166102,Human/Unwatermarked,0.0,77,0.5064935064935064,0.6578947368421053,0.49350649350649356,,,,-0.9068586262641676,1.9479246338923784,0.8177592186836053,False,0.0,,,0.1794638629476627,0.40662955670850354,0.6,309.86,,,100,98.88160706,0.98881607,2.68805013
